metric,mean,std,overall
AUC-ROC,0.9838034963195893,0.005414253480579377,0.9830057998121474
AUC-PR,0.9270026073868436,0.013592057400544756,0.924106328013559
Jaccard系数,0.7175772877451753,0.03400885434946282,0.7172804556434013
F1分数,0.8351266756692365,0.022923726796630614,0.8353678670088432
准确率,0.9615795135498046,0.005715243033697865,0.9615795135498046
敏感性,0.7948653862701148,0.058027421972626884,0.7924629240244878
特异性,0.9853143884299774,0.004069779708662827,0.9852990046950971
精确率,0.8841773490487675,0.026626935246506247,0.8831845958164549
