AUC-ROC,AUC-PR,Jaccard系数,F1分数,准确率,敏感性,特异性,精确率
0.9894521474925418,0.9431614885695094,0.7579364039111857,0.8623024157470922,0.9647750854492188,0.8755943187668453,0.9776277370669902,0.8494080319633361
0.9894720939743572,0.9434235159033308,0.7568623338489369,0.8616068763803497,0.9646224975585938,0.874261833378759,0.977645194938963,0.8493130534553264
0.9878945934259142,0.9483251834840941,0.7636241141830522,0.8659715049731886,0.9638633728027344,0.8391740704179006,0.9840124780658998,0.8945368448744556
0.9876383273011914,0.9479551684477162,0.7626016260162601,0.8653136531365313,0.9637985229492188,0.8359383569156521,0.9844600223329021,0.896828665568369
0.9820141513797066,0.9179525610801383,0.6883421962930456,0.8154060211305291,0.9539451599121094,0.748365187617524,0.9862833479756129,0.8956401988445519
0.9812927149183684,0.9171956611138736,0.6885041981963305,0.8155196758548714,0.9541473388671875,0.745642839100783,0.9869455616233946,0.8998475867908552
0.9787364817187905,0.9211292840663718,0.7140983423564212,0.833205802386728,0.9609184265136719,0.7634860961928631,0.9898612593383138,0.9169384025513312
0.978523108450458,0.9200665854100921,0.714970995091477,0.8337995186365708,0.9610137939453125,0.7648884115049529,0.9897650331542943,0.9163568773234201
0.9769141779096967,0.9151548310299582,0.6859157613874595,0.8137011078453539,0.95599365234375,0.7298510921837882,0.9902866983560753,0.9193183476864691
0.9762297094701287,0.9148949524284953,0.6837381347403922,0.8121668335864053,0.9556427001953125,0.7282866910017962,0.9901197578484005,0.9178837447057105
0.9735915381860296,0.9102586687559086,0.6797535165492317,0.8093491215850167,0.9530143737792969,0.726181878784512,0.9891263011735989,0.9140299968534769
0.9736815757972832,0.9090616425327881,0.6714166623248059,0.8034102775916083,0.9518852233886719,0.7158768957280152,0.9894579511988043,0.9153318890506801
0.9791275523687082,0.918258751123101,0.6909873659922902,0.8172590521831736,0.9581069946289062,0.7370048019207683,0.9903025906373457,0.9171272781595459
0.9801255378300675,0.9202798549958984,0.6937888198757765,0.8192152548588193,0.9586257934570312,0.7375150060024009,0.9908226409817152,0.9212716502961685
0.9809494797044831,0.9192554389794163,0.6880082803489576,0.8151716888577436,0.9597549438476562,0.7353731390460537,0.990551263085286,0.914396887159533
0.9812345545427342,0.9185452721302817,0.6901437614624623,0.8166687085426255,0.9600410461425781,0.7374593039795176,0.990590307452702,0.9149411764705883
0.9824965600267551,0.9223641010298083,0.7061827299412916,0.8277926127708382,0.9633445739746094,0.7585312181824153,0.9902588294194573,0.9109734932155255
0.9825224394731908,0.9227427750714373,0.7009485924112607,0.8241855110007735,0.9627189636230469,0.7523565540118895,0.9903624129790201,0.9111774065234686
0.9825995792208274,0.9196736475525464,0.7110080976411219,0.8310984601666723,0.9624252319335938,0.7852629532419558,0.9860646913089159,0.8826164548202644
0.981929964576508,0.9175603157080926,0.7090764845884876,0.8297773575174074,0.9622306823730469,0.7819578108292019,0.9862852003822157,0.88382654556109
0.9819039931287529,0.9211800071259453,0.7115081035571459,0.8314399471184148,0.9581718444824219,0.7894153019820767,0.9835400878505575,0.8781905566019355
0.9824666324586984,0.9225926096689966,0.7080608305098101,0.8290815149697838,0.9575996398925781,0.7869340572729661,0.9832548587677226,0.8759992201208813
0.9866307413447843,0.9364945710821995,0.7405596617871214,0.8509443003255069,0.9655876159667969,0.8113047039919342,0.9868405633558299,0.8946563824612606
0.9865728169392588,0.9365010071464904,0.7395581636175353,0.8502827661474353,0.9654617309570312,0.8100444248401021,0.9868709446409583,0.8947276840090482
0.9816681670533863,0.9249100722682031,0.709740789876518,0.8302320376035215,0.9566001892089844,0.7683320904797415,0.9867706484551003,0.902979745520644
0.9807376194575665,0.9246477976081089,0.7100739607243051,0.8304599415379108,0.956634521484375,0.7689673267600188,0.986708684279246,0.9026422434754418
0.9884304632238954,0.9388545249054547,0.7513499000626473,0.858023745038922,0.9682044982910156,0.84248202040475,0.9843874462322766,0.8741496598639455
0.9889115945294888,0.9393723931154733,0.7492246212573065,0.8566362628931891,0.9679222106933594,0.8403746445893963,0.9843400832726944,0.8735396383866482
0.9897634997774665,0.9395883193510217,0.7513511710148796,0.8580245737689303,0.9715690612792969,0.8318620027333505,0.9876590476919739,0.8858862402643379
0.9893720444370669,0.9374462640755437,0.7479609840540631,0.8558097015636011,0.9711189270019531,0.8299043327300262,0.9873825354892777,0.8833844460171424
0.9909563182496495,0.9489900845615058,0.758495145631068,0.862663906142167,0.9665985107421875,0.838056926921436,0.9849910609165831,0.8887596147631052
0.9909942033142882,0.9500304857464565,0.7653837670930745,0.8671018521410502,0.9675369262695312,0.8460413238251966,0.9849212924606462,0.889237668161435
0.98774879898,0.9316652931867602,0.7231667165519305,0.8393461986069376,0.9647178649902344,0.791074585816253,0.9876166872479513,0.8938917459025492
0.9877627670674873,0.9312421402932781,0.7224736952546539,0.8388792203271843,0.9646835327148438,0.7891100779254797,0.9878368926002367,0.8953488372093024
0.9914644057501536,0.9440544780991782,0.7582777513101477,0.8625232853513971,0.9690322875976562,0.8765359859566998,0.9805612400307177,0.8489515618228489
0.9917342680414709,0.9452009702153574,0.75780923370961,0.8622201080493358,0.9690628051757812,0.8734381991532716,0.9809816766842134,0.8512865242040994
0.9921829470795196,0.9585414105918322,0.7951294715505182,0.8858742326409874,0.972625732421875,0.9024951393389501,0.9819831894986251,0.8698544568680118
0.9922391427723232,0.9593083107530107,0.7949386678894875,0.8857558000287408,0.9727058410644531,0.898801036941024,0.9825668874630324,0.8730838238534421
