metric,mean,std,overall
AUC-ROC,0.9846958069629259,0.005354174929269025,0.9840342865492475
AUC-PR,0.9306198022800096,0.013482039156936096,0.9280314830396788
Jaccard系数,0.7257031512189368,0.03245499649524653,0.7252527046676972
F1分数,0.8406541297682086,0.02170872186430967,0.8407495350745025
准确率,0.9628259658813476,0.005671919400662651,0.9628259658813476
敏感性,0.8000871637698863,0.05490963647767726,0.7977715648511688
特异性,0.9859873098086378,0.003755310285962718,0.9859757137252206
精确率,0.8895124901351228,0.02472132085847614,0.8886218391598729
